Date,Open,High,Low,Close,Volume
2024-01-01,137.45,140.66,132.51,132.77,
2024-01-02,195.07,196.86,192.41,196.44,286141.0
2024-01-03,173.2,174.01,168.64,171.34,
2024-01-04,,164.44,156.68,159.95,734736.0
2024-01-05,115.6,122.71,111.97,119.68,638685.0
2024-01-08,115.6,115.65,,113.09,278031.0
2024-01-09,105.81,106.32,102.33,,219180.0
2024-01-10,186.62,,185.0,189.17,166234.0
2024-01-11,160.11,160.14,153.42,157.4,
2024-01-12,170.81,171.61,165.22,166.58,278352.0
2024-01-15,102.06,104.8,,99.96,179459.0
2024-01-16,196.99,200.45,193.21,193.6,509995.0
2024-01-17,183.24,190.8,183.12,187.54,295004.0
2024-01-18,121.23,125.44,116.42,124.32,566152.0
2024-01-19,118.18,123.08,114.0,119.52,825256.0
2024-01-22,118.34,123.24,,,
2024-01-23,130.42,135.09,128.38,133.46,575853.0
2024-01-24,152.48,156.21,148.47,149.34,151934.0
2024-01-25,143.19,,142.41,147.12,820255.0
2024-01-26,129.12,133.76,127.87,129.52,525523.0
2024-01-29,161.19,167.55,158.44,164.26,940530.0
2024-01-30,113.95,120.75,110.38,117.91,554137.0
2024-01-31,129.21,129.68,124.09,127.39,105486.0
2024-02-01,136.64,138.47,131.34,132.74,239407.0
2024-02-02,145.61,146.93,138.11,142.89,973332.0
2024-02-05,178.52,179.74,174.1,177.79,750308.0
2024-02-06,119.97,128.01,117.2,123.15,727083.0
2024-02-07,151.42,,148.36,155.03,320184.0
2024-02-08,159.24,163.7,152.21,154.31,766490.0
2024-02-09,,107.91,103.41,104.75,449652.0
2024-02-12,160.75,164.73,158.15,159.93,861315.0
2024-02-13,117.05,119.57,110.48,,742612.0
2024-02-14,106.51,109.39,102.63,102.7,422710.0
2024-02-15,,197.35,192.68,193.26,297775.0
2024-02-16,,,196.33,200.99,389336.0
2024-02-19,180.84,184.45,178.87,179.07,887494.0
2024-02-20,130.46,132.05,126.18,130.65,708364.0
2024-02-21,109.77,111.92,106.25,111.8,189780.0
2024-02-22,168.42,171.65,164.69,167.06,252617.0
2024-02-23,144.02,149.62,143.53,148.73,645977.0
2024-02-26,112.2,121.53,109.75,,
2024-02-27,149.52,154.29,144.67,147.04,450605.0
2024-02-28,,108.01,102.55,103.41,989465.0
2024-02-29,190.93,192.78,186.77,188.94,
2024-03-01,125.88,125.96,121.73,123.73,138102.0
2024-03-04,166.25,170.89,158.54,161.62,
2024-03-05,131.17,134.41,128.0,132.27,464778.0
2024-03-06,152.01,156.87,151.78,152.03,189930.0
2024-03-07,154.67,159.49,148.31,150.19,631089.0
2024-03-08,118.49,122.75,113.14,,727438.0
2024-03-11,196.96,202.51,194.44,201.04,827627.0
2024-03-12,177.51,179.44,170.63,174.91,279208.0
2024-03-13,193.95,198.21,187.11,190.4,254697.0
2024-03-14,189.48,191.07,188.56,189.38,313945.0
2024-03-15,159.79,165.49,159.44,164.65,331915.0
2024-03-18,192.19,194.97,186.4,189.61,827952.0
2024-03-19,108.85,115.25,108.72,110.57,308124.0
2024-03-20,119.6,125.69,116.67,122.21,537477.0
2024-03-21,104.52,107.37,97.2,101.9,625830.0
2024-03-22,132.53,135.3,129.66,134.82,383821.0
2024-03-25,138.87,141.94,135.6,137.55,277804.0
2024-03-26,127.13,133.41,123.92,128.46,805703.0
2024-03-27,182.87,,180.58,184.21,139081.0
2024-03-28,135.68,,,136.03,818216.0
2024-03-29,128.09,132.48,119.29,,455249.0
2024-04-01,154.27,,,157.62,319930.0
2024-04-02,114.09,117.58,107.49,112.3,905497.0
2024-04-03,,183.73,172.56,177.08,617313.0
2024-04-04,107.46,109.25,101.88,102.86,314532.0
2024-04-05,198.69,,198.34,199.6,712380.0
2024-04-08,177.22,183.05,176.72,179.0,619332.0
2024-04-09,119.87,123.92,,115.04,416837.0
2024-04-10,100.55,105.01,100.08,100.67,389106.0
2024-04-11,181.55,186.11,175.4,,128295.0
2024-04-12,170.69,,170.33,172.14,113807.0
2024-04-15,,175.41,168.05,169.64,535564.0
2024-04-16,177.13,183.03,172.9,179.04,257504.0
2024-04-17,107.4,110.65,106.16,,338067.0
2024-04-18,135.85,143.72,131.77,140.21,585008.0
2024-04-19,111.59,115.57,106.55,107.96,
2024-04-22,186.31,190.76,184.13,184.72,494540.0
2024-04-23,162.33,164.02,154.98,158.46,977699.0
2024-04-24,,139.21,129.95,137.34,617923.0
2024-04-25,106.36,110.6,101.97,110.13,266981.0
2024-04-26,131.1,133.99,,128.68,844699.0
2024-04-29,132.52,134.3,128.5,134.12,119870.0
2024-04-30,,178.46,171.55,176.13,
2024-05-01,163.76,167.02,,,348683.0
2024-05-02,188.72,190.45,184.97,189.02,334677.0
2024-05-03,147.22,150.18,140.61,144.64,126790.0
2024-05-06,111.96,112.11,102.94,107.89,743162.0
2024-05-07,171.32,175.48,169.26,175.3,
2024-05-08,176.08,,174.22,180.08,548345.0
2024-05-09,,159.26,152.25,157.46,849074.0
2024-05-10,177.1,177.73,,175.49,587462.0
2024-05-13,149.38,151.99,143.22,147.87,639773.0
2024-05-14,152.27,158.38,147.98,,930914.0
2024-05-15,142.75,147.8,,146.73,186188.0
2024-05-16,102.54,109.53,98.79,106.41,629036.0
2024-05-17,110.79,114.01,107.02,113.59,842129.0
