date,gender,age,salary,visits,expenditure
2022-01-01,Male,35.9,23852.01,1,33.62
2022-01-02,Female,32.0,17325.13,5,58.91
2022-01-03,Male,35.9,22650.13,3,57.84
2022-01-04,Male,18.0,18880.3,1,0.0
2022-01-05,Male,32.8,23049.67,2,77.8
2022-01-06,Female,38.6,28705.74,5,93.91
2022-01-07,Male,49.8,41539.78,4,154.77
2022-01-08,Male,29.8,13425.0,4,9.06
2022-01-09,Male,26.9,51700.01,3,164.94
2022-01-10,Female,30.0,10088.64,2,91.85
2022-01-11,Male,44.2,20728.94,2,0.0
2022-01-12,Male,38.3,27870.58,3,119.44
2022-01-13,Male,29.7,24646.66,6,200.68
2022-01-14,Male,40.1,17170.02,5,48.86
2022-01-15,Female,36.0,20267.04,4,184.16
2022-01-16,Male,44.7,18084.3,2,87.12
2022-01-17,Female,28.0,17400.5,3,44.55
2022-01-18,Female,31.7,30941.11,2,89.09
2022-01-19,Female,31.1,25407.67,1,93.73
2022-01-20,Male,20.4,16694.53,7,142.19
2022-01-21,Female,38.0,31566.13,5,165.07
2022-01-22,Male,37.6,24907.39,3,48.78
2022-01-23,Female,35.1,30489.72,5,144.45
2022-01-24,Female,32.7,28334.96,3,30.98
2022-01-25,Female,20.8,15810.06,6,116.06
2022-01-26,Female,30.8,17604.81,4,50.01
2022-01-27,Female,31.6,29700.45,5,97.62
2022-01-28,Female,27.0,28117.52,5,193.04
2022-01-29,Female,33.4,21843.08,4,158.25
2022-01-30,Female,39.0,23084.83,2,106.63
2022-01-31,Male,53.9,36719.6,5,93.82
2022-02-01,Male,36.7,17385.15,4,78.95
2022-02-02,Female,37.6,27414.82,6,205.48
2022-02-03,Female,34.3,20315.17,4,
2022-02-04,Female,18.0,20189.69,5,231.35
2022-02-05,Male,34.7,,0,88.03
2022-02-06,Female,35.6,30643.21,8,190.89
2022-02-07,Male,59.6,30497.62,5,120.54
2022-02-08,Male,33.1,37130.41,7,185.94
2022-02-09,Male,38.0,22212.3,2,66.8
2022-02-10,Male,34.7,28934.25,0,93.27
2022-02-11,Male,23.3,19455.66,5,161.75
2022-02-12,Female,46.4,25076.0,4,70.85
2022-02-13,Female,42.5,20909.16,4,35.26
2022-02-14,Female,42.9,22897.85,2,0.0
2022-02-15,Female,25.9,27946.93,3,
2022-02-16,Female,49.0,15878.35,3,21.59
2022-02-17,Male,21.0,50866.25,3,39.09
2022-02-18,Female,40.9,14729.29,3,93.89
2022-02-19,Female,56.9,13552.48,2,181.75
2022-02-20,Male,25.1,35004.94,5,144.71
2022-02-21,Female,29.3,30232.27,4,162.39
2022-02-22,Male,36.0,28272.59,3,105.64
2022-02-23,Female,30.0,28320.42,20,96.7
2022-02-24,Male,19.5,21918.83,3,134.79
2022-02-25,Female,35.7,15384.23,2,46.25
2022-02-26,Female,24.4,22704.58,2,88.78
2022-02-27,Male,39.7,16800.02,6,139.68
2022-02-28,Male,25.8,32534.23,2,61.66
2022-03-01,Male,50.5,20768.18,1,106.14
2022-03-02,Male,27.2,15832.2,1,37.92
2022-03-03,Male,31.8,,5,75.95
2022-03-04,Male,43.1,25982.35,4,138.79
2022-03-05,Male,22.7,17579.88,5,65.24
2022-03-06,Male,37.3,15852.97,5,108.11
2022-03-07,Female,48.1,24281.62,4,108.11
2022-03-08,Female,18.9,24294.05,5,177.88
2022-03-09,Male,36.8,17983.73,3,104.7
2022-03-10,Female,37.6,18243.87,4,95.24
2022-03-11,Female,42.8,24168.85,6,179.23
2022-03-12,Female,22.6,12342.04,4,154.19
2022-03-13,Female,21.8,12544.21,2,82.98
2022-03-14,Male,40.2,16524.88,3,78.57
2022-03-15,Female,38.0,20223.92,5,49.86
2022-03-16,Male,37.5,24943.36,3,41.63
2022-03-17,Female,38.5,39741.15,2,94.22
2022-03-18,Female,28.2,31040.99,4,91.61
2022-03-19,Female,37.3,20661.44,4,91.97
2022-03-20,Male,37.9,21859.56,5,121.55
2022-03-21,Female,27.9,14749.85,3,100.98
2022-03-22,Male,53.7,21863.96,7,145.2
2022-03-23,Female,39.7,19624.55,4,123.57
2022-03-24,Male,23.1,25061.48,5,128.35
2022-03-25,Female,41.6,15821.22,2,0.0
2022-03-26,Male,25.3,27112.19,9,142.26
2022-03-27,Male,42.9,40663.88,2,104.12
2022-03-28,Female,46.6,21088.77,1,0.0
2022-03-29,Male,26.8,25866.0,3,126.73
2022-03-30,Female,44.6,29029.2,6,224.6
2022-03-31,Female,39.1,18760.56,1,113.46
2022-04-01,Female,43.2,24092.05,2,67.51
2022-04-02,Female,54.0,22137.69,8,238.81
2022-04-03,Female,32.5,22904.08,20,158.24
2022-04-04,Female,27.5,16168.11,3,60.48
2022-04-05,Female,26.1,22243.48,1,28.82
2022-04-06,Female,26.8,26881.65,6,
2022-04-07,Female,34.2,39358.11,4,119.31
2022-04-08,Female,38.4,32328.62,5,148.18
2022-04-09,Female,37.8,52118.38,3,157.27
2022-04-10,Male,43.3,16204.77,3,77.56
2022-04-11,Male,35.1,31223.56,5,159.29
2022-04-12,Female,49.5,23702.52,5,181.94
2022-04-13,Female,32.4,52887.44,4,213.25
2022-04-14,Female,62.2,15941.49,6,47.64
2022-04-15,Female,41.3,15742.37,3,0.0
2022-04-16,Female,26.4,17330.84,4,141.38
2022-04-17,Female,24.3,,2,0.0
2022-04-18,Female,39.8,17848.91,7,129.46
2022-04-19,Female,32.8,16258.11,10,124.01
2022-04-20,Male,42.1,23392.19,4,16.69
2022-04-21,Female,39.7,25253.05,4,137.58
2022-04-22,Male,34.3,46651.87,3,176.26
2022-04-23,Female,26.5,32214.42,5,110.6
2022-04-24,Female,19.9,17487.45,5,0.0
2022-04-25,Male,30.5,15377.09,5,78.44
2022-04-26,Female,43.6,26816.37,2,103.22
2022-04-27,Male,37.1,12989.63,2,0.0
2022-04-28,Female,22.5,45824.93,5,175.82
2022-04-29,Female,36.7,35304.86,2,99.84
2022-04-30,Male,38.9,18257.47,1,80.48
2022-05-01,Female,26.2,11100.51,6,118.18
2022-05-02,Male,36.5,37856.16,4,87.06
2022-05-03,Female,35.6,21040.07,3,146.91
2022-05-04,Male,23.6,36138.95,5,139.35
2022-05-05,Male,38.6,11640.31,5,96.92
2022-05-06,Female,40.6,17330.96,1,3.0
2022-05-07,Female,45.8,22072.71,5,96.98
2022-05-08,Male,45.5,22444.31,7,105.65
2022-05-09,Female,21.2,18397.57,5,103.15
2022-05-10,Female,25.6,28258.23,4,202.1
2022-05-11,Female,40.2,14370.77,4,20.15
2022-05-12,Male,40.1,20807.07,0,0.0
2022-05-13,Male,40.2,23112.25,2,149.78
2022-05-14,Male,65.0,27059.02,5,118.65
2022-05-15,Male,40.7,29279.59,2,55.11
2022-05-16,Male,46.4,14046.71,5,
2022-05-17,Male,44.5,11924.55,0,0.0
2022-05-18,Male,41.5,36719.78,2,194.74
2022-05-19,Male,31.8,25157.86,1,99.21
2022-05-20,Male,42.6,16327.49,2,38.26
2022-05-21,Female,27.3,40964.49,4,249.79
2022-05-22,Male,32.6,23069.57,3,60.85
2022-05-23,Female,30.1,35302.85,4,167.71
2022-05-24,Female,35.8,22629.45,4,120.22
2022-05-25,Female,58.1,50226.56,7,270.54
2022-05-26,Male,18.0,44450.72,1,181.98
2022-05-27,Male,41.9,,4,101.48
2022-05-28,Male,18.9,32488.08,6,117.31
2022-05-29,Male,30.3,28514.0,5,155.03
2022-05-30,Female,45.9,38080.31,1,57.27
2022-05-31,Male,35.6,14973.4,6,220.62
2022-06-01,Male,24.2,28981.72,4,124.79
2022-06-02,Male,27.8,33636.59,7,154.01
2022-06-03,Male,41.8,10899.85,4,91.03
2022-06-04,Male,27.7,13721.19,5,35.09
2022-06-05,Female,37.2,9743.03,6,60.91
2022-06-06,Male,35.5,19776.26,4,159.57
2022-06-07,Female,28.5,29349.09,5,100.85
2022-06-08,Male,56.4,40172.7,1,43.0
2022-06-09,Female,41.3,22689.05,4,132.21
2022-06-10,Male,18.0,42253.66,3,188.79
2022-06-11,Male,36.9,12682.26,1,76.31
2022-06-12,Female,28.4,11143.89,7,177.09
2022-06-13,Female,43.5,21542.46,2,35.25
2022-06-14,Female,27.1,25684.07,3,25.28
2022-06-15,Male,33.9,21740.28,4,178.55
2022-06-16,Female,40.0,9633.7,3,48.13
2022-06-17,Male,43.7,21255.1,7,134.97
2022-06-18,Male,23.0,13071.8,1,107.55
2022-06-19,Female,31.7,28792.47,4,145.4
2022-06-20,Female,30.3,25505.24,7,178.8
2022-06-21,Male,28.5,15124.15,4,198.5
2022-06-22,Male,52.7,17933.99,6,93.69
2022-06-23,Female,39.0,14419.18,3,120.23
2022-06-24,Female,22.4,21481.09,8,165.81
2022-06-25,Female,44.2,32275.28,6,167.98
2022-06-26,Male,56.2,14849.32,1,121.12
2022-06-27,Male,45.3,26946.77,4,139.29
2022-06-28,Male,19.8,17816.8,3,107.55
2022-06-29,Male,30.2,16040.16,3,130.71
2022-06-30,Male,47.7,21103.37,5,98.96
2022-07-01,Male,27.9,14558.1,4,47.16
2022-07-02,Female,39.4,,5,58.06
2022-07-03,Male,42.7,13641.19,1,0.0
2022-07-04,Male,25.7,48333.98,4,259.48
2022-07-05,Male,34.4,22339.36,3,34.52
2022-07-06,Female,18.0,16649.07,3,67.24
2022-07-07,Male,24.8,23994.79,5,109.15
2022-07-08,Male,32.5,21058.69,20,87.49
2022-07-09,Female,22.5,,3,126.11
2022-07-10,Male,51.3,28160.25,6,189.34
2022-07-11,Male,20.7,29822.04,6,120.49
2022-07-12,Male,30.6,17815.06,5,102.27
2022-07-13,Male,36.3,17495.04,5,124.12
2022-07-14,Male,49.4,19731.65,5,102.03
2022-07-15,Female,20.6,8771.22,2,127.91
2022-07-16,Female,46.6,12015.15,5,123.58
2022-07-17,Female,35.1,38053.55,5,187.85
2022-07-18,Male,25.2,42530.94,4,178.21
2022-07-19,Male,39.6,19938.06,3,143.55
